burnIn   <= 2703000,   maxState  = 27030000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
migrationRateSMItaly_to_Germany	0.743	0.4789	0.6284	0.1017	1.7525	155.2223	0.2474	0.6935	
migrationRateSMItaly_to_Hubei-China	0	0	0	0	0	10000	0	0	
migrationRateSMItaly_to_OtherEuropean	3.3094	2.33	2.5894	0.5434	8.266	103.7039	0.9564	2.7697	
migrationRateSMItaly_to_Spain	0.4447	0.2315	0.4046	0.0911	0.9208	353.6675	0.197	0.4669	
migrationRateSMOtherEuropean_to_France	1.1063	0.9055	0.8757	0.0582	2.8816	539.7531	0.1936	0.9486	
migrationRateSMOtherEuropean_to_Germany	1.3193	1.1961	0.9422	0.0325	3.7467	234.4428	0.127	0.9733	
migrationRateSMOtherEuropean_to_Hubei-China	0	0	0	0	0	10000	0	0	
migrationRateSMOtherEuropean_to_Italy	1.0239	0.9641	0.7232	0.0366	2.8137	790.6862	0.1601	0.7906	
migrationRateSMOtherEuropean_to_Spain	1.0106	0.7343	0.837	0.0435	2.3826	637.2708	0.2752	0.9795	
migrationRateSMSpain_to_France	0.7468	0.7092	0.5296	0.0597	2.0475	882.1619	0.1554	0.5981	
migrationRateSMSpain_to_Germany	0.6777	0.5761	0.5069	0.0449	1.7713	1089.3468	0.1226	0.5575	
migrationRateSMSpain_to_Hubei-China	0	0	0	0	0	10000	0	0	
migrationRateSMSpain_to_Italy	1.1453	1.1231	0.7959	0.0206	3.2655	1064.4593	0.1755	0.8807	
migrationRateSMSpain_to_OtherEuropean	1.0195	0.9723	0.7182	0.0511	2.885	1020.7943	0.1095	0.7543	
samplingProportionSVi0_endtime	0.1096	0.0387	0.1038	0.048	0.1931	1828.4476	0.0736	0.1192	
samplingProportionSVi0_France	0	0	0	0	0	10000	0	0	
samplingProportionSVi0_Germany	0	0	0	0	0	10000	0	0	
samplingProportionSVi0_Hubei-China	0	0	0	0	0	10000	0	0	
samplingProportionSVi0_Italy	0	0	0	0	0	10000	0	0	
samplingProportionSVi0_OtherEuropean	0	0	0	0	0	10000	0	0	
samplingProportionSVi0_Spain	0	0	0	0	0	10000	0	0	
samplingProportionSVi1_endtime	0.1946	0.0387	0.1888	0.133	0.2781	1828.4476	0.1586	0.2042	
samplingProportionSVi1_France	0.0407	0.0167	0.0386	0.0118	0.0729	416.7276	0.0212	0.0436	
samplingProportionSVi1_Germany	0.0507	7.5905E-3	0.0527	0.0352	0.06	1678.1227	0.0527	0.06	
samplingProportionSVi1_Hubei-China	0.0923	4.3218E-3	0.0936	0.0839	0.097	2057.5007	0.0936	0.097	
samplingProportionSVi1_Italy	8.5296E-3	1.7164E-3	8.828E-3	5.322E-3	0.011	1119.4684	8.7803E-3	0.0109	
samplingProportionSVi1_OtherEuropean	0.0214	3.829E-3	0.0224	0.0137	0.026	924.2755	0.0224	0.026	
samplingProportionSVi1_Spain	0.0428	9.2552E-3	0.0449	0.0252	0.055	1038.3467	0.0449	0.055	
samplingProportionSVi2_France	0.0407	0.0167	0.0386	0.0118	0.0729	416.7276	0.0212	0.0436	
samplingProportionSVi2_Germany	0.0507	7.5905E-3	0.0527	0.0352	0.06	1678.1227	0.0527	0.06	
samplingProportionSVi2_Hubei-China	0	0	0	0	0	10000	0	0	
samplingProportionSVi2_Italy	8.5296E-3	1.7164E-3	8.828E-3	5.322E-3	0.011	1119.4684	8.7803E-3	0.0109	
samplingProportionSVi2_OtherEuropean	0.0214	3.829E-3	0.0224	0.0137	0.026	924.2755	0.0224	0.026	
samplingProportionSVi2_Spain	0.0428	9.2552E-3	0.0449	0.0252	0.055	1038.3467	0.0449	0.055	
removalProbSV	1	0	0	0	0	10000	0	0	

 * WARNING: The results of this MCMC analysis may be invalid as 
            one or more statistics had very low effective sample sizes (ESS)
