burnIn   <= 2700300,   maxState  = 27003000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
migrationRateSMi1_France_to_Spain	1.8343	0.1793	1.8278	1.4856	2.1856	372.0194	1.6894	1.9299	
migrationRateSMi1_Germany_to_France	1.4338	0.0835	1.4324	1.2739	1.6006	370.7922	1.3761	1.4887	
migrationRateSMi1_Germany_to_Hubei-China	0.3868	0.0611	0.3813	0.2754	0.5098	373.578	0.3354	0.4146	
migrationRateSMi1_Germany_to_Italy	1.7176	0.1498	1.713	1.4237	2.0093	371.6406	1.5968	1.7982	
migrationRateSMi1_Germany_to_OtherEuropean	4.3418	1.0232	4.2376	2.4953	6.3883	380.4066	3.4763	4.7918	
migrationRateSMi1_Germany_to_Spain	2.5072	0.3704	2.4848	1.8132	3.2498	374.3303	2.2065	2.6973	
migrationRateSMi1_Hubei-China_to_France	0.4174	0.0605	0.4124	0.3058	0.5385	372.9578	0.3665	0.4453	
migrationRateSMi1_Hubei-China_to_Germany	0.377	0.0612	0.3714	0.2659	0.5005	373.8004	0.3256	0.4048	
migrationRateSMi1_Hubei-China_to_Italy	0.0155	0.013	0.0118	1.5109E-3	0.04	474.8128	3.8975E-3	0.0131	
migrationRateSMi1_Hubei-China_to_OtherEuropean	0.5154	0.0564	0.5116	0.4105	0.6285	371.5531	0.468	0.5423	
migrationRateSMi1_Hubei-China_to_Spain	0.2135	0.056	0.2058	0.1177	0.3276	380.5924	0.1606	0.2292	
migrationRateSMi1_Italy_to_France	1.6641	0.1367	1.6603	1.4016	1.9363	371.4714	1.554	1.7379	
migrationRateSMi1_Italy_to_Germany	1.7326	0.1535	1.7277	1.4317	2.0317	371.6883	1.6087	1.815	
migrationRateSMi1_Italy_to_Hubei-China	0.0562	0.0295	0.0496	0.0141	0.1146	412.9673	0.027	0.0562	
migrationRateSMi1_Italy_to_OtherEuropean	3.4973	0.7028	3.4369	2.1854	4.8818	377.7071	2.9253	3.8414	
migrationRateSMi1_Italy_to_Spain	1.9395	0.2069	1.9312	1.5402	2.3471	372.3705	1.7722	2.0492	
migrationRateSMi1_OtherEuropean_to_France	3.4065	0.6703	3.3503	2.1503	4.7244	377.4062	2.8611	3.736	
migrationRateSMi1_OtherEuropean_to_Germany	4.3501	1.0265	4.2454	2.4982	6.4034	380.4322	3.4818	4.8013	
migrationRateSMi1_OtherEuropean_to_Hubei-China	0.5396	0.0549	0.5361	0.4369	0.6492	371.3065	0.4935	0.566	
migrationRateSMi1_OtherEuropean_to_Italy	3.4739	0.6944	3.4146	2.1764	4.8412	377.6299	2.9088	3.8142	
migrationRateSMi1_OtherEuropean_to_Spain	4.771	1.1966	4.6409	2.5753	7.1077	381.7075	3.6322	5.1592	
migrationRateSMi1_Spain_to_France	1.8878	0.1932	1.8804	1.5135	2.2674	372.197	1.7316	1.9905	
migrationRateSMi1_Spain_to_Germany	2.4632	0.3569	2.4421	1.7927	3.1776	374.1769	2.1734	2.6467	
migrationRateSMi1_Spain_to_Hubei-China	0.2197	0.0565	0.2122	0.1226	0.3347	380.157	0.1663	0.2358	
migrationRateSMi1_Spain_to_Italy	1.9113	0.1994	1.9035	1.5256	2.3036	372.2757	1.7501	2.0172	
migrationRateSMi1_Spain_to_OtherEuropean	4.6754	1.1574	4.5512	2.5446	6.9326	381.4216	3.5732	5.0526	
migrationRateSMi2_France_to_Germany	0.8985	0.0157	0.8981	0.8677	0.9288	369.938	0.8872	0.9083	
migrationRateSMi2_France_to_Hubei-China	0.2814	0.06	0.2745	0.1753	0.4028	376.8393	0.2241	0.2997	
migrationRateSMi2_France_to_Italy	0.6244	0.0483	0.6219	0.532	0.7195	370.6607	0.5838	0.6481	
migrationRateSMi2_France_to_OtherEuropean	2.1446	0.2633	2.1319	1.6404	2.6651	373.0706	1.9313	2.2825	
migrationRateSMi2_France_to_Spain	1.107	0.0183	1.1071	1.0721	1.1434	370.0772	1.0954	1.12	
migrationRateSMi2_Germany_to_France	0.8763	0.0189	0.8758	0.8393	0.9129	369.948	0.8621	0.8875	
migrationRateSMi2_Germany_to_Hubei-China	0.3156	0.061	0.3092	0.2058	0.4379	375.5356	0.26	0.3377	
migrationRateSMi2_Germany_to_Italy	0.7012	0.0408	0.6995	0.6236	0.7821	370.2944	0.6702	0.7247	
migrationRateSMi2_Germany_to_OtherEuropean	2.6248	0.407	2.5987	1.8671	3.444	374.7394	2.2942	2.8324	
migrationRateSMi2_Germany_to_Spain	1.527	0.1044	1.5248	1.3287	1.737	371.0558	1.4546	1.5953	
migrationRateSMi2_Hubei-China_to_France	0.2115	0.0559	0.2038	0.1162	0.3253	380.7353	0.1588	0.2271	
migrationRateSMi2_Hubei-China_to_Germany	0.1507	0.0492	0.1428	0.0666	0.2478	386.6318	0.1051	0.1629	
migrationRateSMi2_Hubei-China_to_Italy	0.0213	0.016	0.017	2.5666E-3	0.0521	455.8262	6.8885E-3	0.0194	
migrationRateSMi2_Hubei-China_to_OtherEuropean	0.1805	0.0529	0.1727	0.0928	0.2894	383.3133	0.131	0.1946	
migrationRateSMi2_Hubei-China_to_Spain	0.0652	0.0321	0.0582	0.0177	0.1286	408.0562	0.0328	0.0655	
migrationRateSMi2_Italy_to_France	0.6481	0.0461	0.6458	0.5594	0.7386	370.5289	0.6094	0.6708	
migrationRateSMi2_Italy_to_Germany	0.7316	0.0374	0.7302	0.66	0.8055	370.1924	0.7032	0.7533	
migrationRateSMi2_Italy_to_Hubei-China	0.0586	0.0302	0.0519	0.015	0.1184	411.5257	0.0286	0.0587	
migrationRateSMi2_Italy_to_OtherEuropean	1.249	0.045	1.2488	1.164	1.3399	370.3368	1.219	1.2797	
migrationRateSMi2_Italy_to_Spain	0.7249	0.0382	0.7234	0.652	0.8004	370.2129	0.696	0.747	
migrationRateSMi2_OtherEuropean_to_France	2.2446	0.2919	2.2295	1.6891	2.8241	373.4165	2.0079	2.3966	
migrationRateSMi2_OtherEuropean_to_Germany	2.7567	0.4491	2.7262	1.9023	3.6394	375.1967	2.3917	2.9841	
migrationRateSMi2_OtherEuropean_to_Hubei-China	0.4797	0.0583	0.4755	0.37	0.5949	371.9799	0.4308	0.5072	
migrationRateSMi2_OtherEuropean_to_Italy	1.2365	0.0425	1.2363	1.1561	1.3223	370.3102	1.2082	1.2655	
migrationRateSMi2_OtherEuropean_to_Spain	2.9095	0.499	2.8736	1.9676	3.8948	375.7236	2.5037	3.1604	
migrationRateSMi2_Spain_to_France	1.2812	0.0514	1.2808	1.1844	1.3854	370.4082	1.2469	1.3163	
migrationRateSMi2_Spain_to_Germany	1.9172	0.201	1.9093	1.5287	2.3127	372.2955	1.7547	2.0239	
migrationRateSMi2_Spain_to_Hubei-China	0.1434	0.0482	0.1355	0.0619	0.2386	387.6208	0.0985	0.1547	
migrationRateSMi2_Spain_to_Italy	0.7748	0.0323	0.7737	0.7125	0.8383	370.0817	0.7503	0.7936	
migrationRateSMi2_Spain_to_OtherEuropean	3.3898	0.6643	3.3343	2.1438	4.6954	377.3505	2.8492	3.7165	
samplingProportionSVi0_endtime	0.1051	0.0374	0.1	0.0393	0.1772	7861.5636	0.0681	0.1143	
samplingProportionSVi0_France	0	0	0	0	0	1000	0	0	
samplingProportionSVi0_Germany	0	0	0	0	0	1000	0	0	
samplingProportionSVi0_Hubei-China	0	0	0	0	0	1000	0	0	
samplingProportionSVi0_Italy	0	0	0	0	0	1000	0	0	
samplingProportionSVi0_OtherEuropean	0	0	0	0	0	1000	0	0	
samplingProportionSVi0_Spain	0	0	0	0	0	1000	0	0	
samplingProportionSVi1_endtime	0.1901	0.0374	0.185	0.1243	0.2622	7861.5636	0.1531	0.1993	
samplingProportionSVi1_France	0.0358	0.0132	0.0339	0.0139	0.0636	893.6741	0.0227	0.039	
samplingProportionSVi1_Germany	0.0506	7.428E-3	0.0523	0.0359	0.06	2486.1783	0.0523	0.06	
samplingProportionSVi1_Hubei-China	0.0945	2.5335E-3	0.0953	0.0893	0.097	2226.5809	0.0953	0.097	
samplingProportionSVi1_Italy	9.8052E-3	1.0162E-3	0.0101	7.766E-3	0.011	3300.5738	0.0101	0.011	
samplingProportionSVi1_OtherEuropean	0.0228	2.7503E-3	0.0235	0.0173	0.026	2103.803	0.0235	0.026	
samplingProportionSVi1_Spain	0.0358	9.6638E-3	0.0356	0.02	0.0546	1518.4806	0.0275	0.0421	
samplingProportionSVi2_France	0.0358	0.0132	0.0339	0.0139	0.0636	893.6741	0.0227	0.039	
samplingProportionSVi2_Germany	0.0506	7.428E-3	0.0523	0.0359	0.06	2486.1783	0.0523	0.06	
samplingProportionSVi2_Hubei-China	0	0	0	0	0	1000	0	0	
samplingProportionSVi2_Italy	9.8052E-3	1.0162E-3	0.0101	7.766E-3	0.011	3300.5738	0.0101	0.011	
samplingProportionSVi2_OtherEuropean	0.0228	2.7503E-3	0.0235	0.0173	0.026	2103.803	0.0235	0.026	
samplingProportionSVi2_Spain	0.0358	9.6638E-3	0.0356	0.02	0.0546	1518.4806	0.0275	0.0421	
removalProbSV	1	0	0	0	0	1000	0	0	
scaleParamGLM	1.2399	0.2015	1.2424	0.8494	1.6365	369.9599	1.1124	1.3839	

 * WARNING: The results of this MCMC analysis may be invalid as 
            one or more statistics had very low effective sample sizes (ESS)
